x-axis,1,2,3
second,Volt,Volt,Volt
-57.50000E-03,+1.41250002E+00,+1.93750000E+00,+2.06874990E+00
-57.45000E-03,+1.41250002E+00,+1.96875000E+00,+2.03749990E+00
-57.40000E-03,+1.38125002E+00,+2.00000000E+00,+1.97499990E+00
-57.35000E-03,+1.35000002E+00,+2.00000000E+00,+1.94374990E+00
-57.30000E-03,+1.41250002E+00,+1.96875000E+00,+1.88124990E+00
-57.25000E-03,+1.41250002E+00,+1.93750000E+00,+1.78749990E+00
-57.20000E-03,+1.35000002E+00,+1.87500000E+00,+1.72499990E+00
-57.15000E-03,+1.38125002E+00,+1.78125000E+00,+1.66249990E+00
-57.10000E-03,+1.31875002E+00,+1.71875000E+00,+1.56874990E+00
-57.05000E-03,+1.31875002E+00,+1.65625000E+00,+1.50624990E+00
-57.00000E-03,+1.35000002E+00,+1.62500000E+00,+1.38124990E+00
-56.95000E-03,+1.31875002E+00,+1.53125000E+00,+1.38124990E+00
-56.90000E-03,+1.28750002E+00,+1.46875000E+00,+1.28749990E+00
-56.85000E-03,+1.28750002E+00,+1.37500000E+00,+1.25624990E+00
-56.80000E-03,+1.22500002E+00,+1.34375000E+00,+1.22499990E+00
-56.75000E-03,+1.25625002E+00,+1.28125000E+00,+1.16249990E+00
-56.70000E-03,+1.19375002E+00,+1.21875000E+00,+1.16249990E+00
-56.65000E-03,+1.22500002E+00,+1.18750000E+00,+1.13124990E+00
-56.60000E-03,+1.19375002E+00,+1.15625000E+00,+1.13124990E+00
-56.55000E-03,+1.16250002E+00,+1.12500000E+00,+1.03749990E+00
-56.50000E-03,+1.16250002E+00,+1.09375000E+00,+1.09999990E+00
-56.45000E-03,+1.10000002E+00,+1.09375000E+00,+1.06874990E+00
-56.40000E-03,+1.13125002E+00,+1.09375000E+00,+1.06874990E+00
-56.35000E-03,+1.10000002E+00,+1.06250000E+00,+1.06874990E+00
-56.30000E-03,+1.06875002E+00,+1.06250000E+00,+1.03749990E+00
-56.25000E-03,+1.03750002E+00,+1.09375000E+00,+1.03749990E+00
-56.20000E-03,+1.00625002E+00,+1.06250000E+00,+1.06874990E+00
-56.15000E-03,+975.00002E-03,+1.06250000E+00,+1.03749990E+00
-56.10000E-03,+1.00625002E+00,+1.06250000E+00,+1.00624990E+00
-56.05000E-03,+943.75002E-03,+1.06250000E+00,+1.03749990E+00
-56.00000E-03,+912.50002E-03,+1.03125000E+00,+1.00624990E+00
-55.95000E-03,+912.50002E-03,+1.06250000E+00,+1.03749990E+00
-55.90000E-03,+881.25002E-03,+1.03125000E+00,+943.74990E-03
-55.85000E-03,+850.00002E-03,+968.75000E-03,+943.74990E-03
-55.80000E-03,+881.25002E-03,+1.00000000E+00,+912.49990E-03
-55.75000E-03,+850.00002E-03,+968.75000E-03,+943.74990E-03
-55.70000E-03,+818.75002E-03,+937.50000E-03,+881.24990E-03
-55.65000E-03,+818.75002E-03,+906.25000E-03,+881.24990E-03
-55.60000E-03,+756.25002E-03,+906.25000E-03,+849.99990E-03
-55.55000E-03,+756.25002E-03,+906.25000E-03,+818.74990E-03
-55.50000E-03,+725.00002E-03,+875.00000E-03,+818.74990E-03
